h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h102,h103,h104,h102,h103,h104,h105,h106,h107,h108,h109,h110,h123,h124,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,offset
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.320354158,0.649181879,4.131739428,0.537524503,1.084578717,4.083787009,61.20119991,0.320354158,0.649181879,4.131739428,0.537524503,1.084578717,0,0,1,1,41.31739428,0,1,0,10.84578717,0,1,0,108.4578717,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.316425867,0.639466131,4.133781059,0.531933579,1.07812351,4.07602694,61.18163856,0.316425867,0.639466131,4.133781059,0.531933579,1.07812351,0,0,1,1,41.33781059,0,1,0,10.7812351,0,1,0,107.812351,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.307704389,0.629730094,4.134838349,0.528438031,1.077855031,4.067399364,61.16966917,0.307704389,0.629730094,4.134838349,0.528438031,1.077855031,0,0,1,1,41.34838349,0,1,0,10.77855031,0,1,0,107.7855031,0,0,0,1
30.5,30.5,305,30.5,30.5,3050,30.5,30.5,20.5,30.5,30530.5,30.5,30.5,3.05,30.5,30.5,3050,30.5,30.5,20.5,30.5,1030.5,30.5,30.5,30.5,0.297114212,0.620440856,4.134644348,0.527263564,1.083453741,4.059149342,61.16681567,0.297114212,0.620440856,4.134644348,0.527263564,1.083453741,0,0,1,1,41.34644348,0,1,0,10.83453741,0,1,0,108.3453741,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.289665837,0.612689662,4.133188537,0.52776981,1.089678084,4.052453607,61.17232373,0.289665837,0.612689662,4.133188537,0.52776981,1.089678084,0,0,1,1,41.33188537,0,1,0,10.89678084,0,1,0,108.9678084,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.291285416,0.606639282,4.130446243,0.529021999,1.092208215,4.048840635,61.18474395,0.291285416,0.606639282,4.130446243,0.529021999,1.092208215,0,0,1,1,41.30446243,0,1,0,10.92208215,0,1,0,109.2208215,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.304600651,0.603624455,4.126624708,0.530658261,1.088955858,4.049140813,61.20373675,0.304600651,0.603624455,4.126624708,0.530658261,1.088955858,0,0,1,1,41.26624708,0,1,0,10.88955858,0,1,0,108.8955858,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.3258,0.602988663,4.122204872,0.532126063,1.080912132,4.052801855,61.23064399,0.3258,0.602988663,4.122204872,0.532126063,1.080912132,0,0,1,1,41.22204872,0,1,0,10.80912132,0,1,0,108.0912132,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.348085131,0.604516758,4.11821082,0.533353527,1.072314537,4.058311774,61.26888936,0.348085131,0.604516758,4.11821082,0.533353527,1.072314537,0,0,1,1,41.1821082,0,1,0,10.72314537,0,1,0,107.2314537,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.361159375,0.607655564,4.115844982,0.53429461,1.068034411,4.063791773,61.3221272,0.361159375,0.607655564,4.115844982,0.53429461,1.068034411,0,0,1,1,41.15844982,0,1,0,10.68034411,0,1,0,106.8034411,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.359128826,0.611968701,4.115688997,0.53470162,1.070792671,4.068022923,61.3890371,0.359128826,0.611968701,4.115688997,0.53470162,1.070792671,0,0,1,1,41.15688997,0,1,0,10.70792671,0,1,0,107.0792671,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.343510275,0.617298642,4.117415232,0.534597347,1.079506781,4.070758666,61.45688054,0.343510275,0.617298642,4.117415232,0.534597347,1.079506781,0,0,1,1,41.17415232,0,1,0,10.79506781,0,1,0,107.9506781,0,0,0,1
31.5,31.5,315,31.5,31.5,3150,31.5,31.5,21.5,31.5,31531.5,31.5,31.5,3.15,31.5,31.5,3150,31.5,31.5,21.5,31.5,1031.5,31.5,31.5,31.5,0.322924811,0.623616972,4.1200202,0.53382148,1.090289895,4.072483612,61.50331661,0.322924811,0.623616972,4.1200202,0.53382148,1.090289895,0,0,1,1,41.200202,0,1,0,10.90289895,0,1,0,109.0289895,0,0,0,1
30.5,30.5,305,30.5,30.5,3050,30.5,30.5,20.5,30.5,30530.5,30.5,30.5,3.05,30.5,30.5,3050,30.5,30.5,20.5,30.5,1030.5,30.5,30.5,30.5,0.305377059,0.630915909,4.122442572,0.532230164,1.098448233,4.073933156,61.50313205,0.305377059,0.630915909,4.122442572,0.532230164,1.098448233,0,0,1,1,41.22442572,0,1,0,10.98448233,0,1,0,109.8448233,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.2965207,0.638691122,4.123941334,0.53000828,1.100682205,4.075523401,61.44736211,0.2965207,0.638691122,4.123941334,0.53000828,1.100682205,0,0,1,1,41.23941334,0,1,0,11.00682205,0,1,0,110.0682205,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.29583673,0.645938613,4.124508383,0.527795932,1.098134287,4.077296165,61.35053652,0.29583673,0.645938613,4.124508383,0.527795932,1.098134287,0,0,1,1,41.24508383,0,1,0,10.98134287,0,1,0,109.8134287,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.300796481,0.650602783,4.124633215,0.526851843,1.093520279,4.078909202,61.25065094,0.300796481,0.650602783,4.124633215,0.526851843,1.093520279,0,0,1,1,41.24633215,0,1,0,10.93520279,0,1,0,109.3520279,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.305908268,0.650493538,4.124952622,0.528504088,1.090652537,4.080328781,61.19223907,0.305908268,0.650493538,4.124952622,0.528504088,1.090652537,0,0,1,1,41.24952622,0,1,0,10.90652537,0,1,0,109.0652537,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.307804856,0.644568594,4.125919449,0.533310771,1.091263361,4.081465514,61.19686233,0.307804856,0.644568594,4.125919449,0.533310771,1.091263361,0,0,1,1,41.25919449,0,1,0,10.91263361,0,1,0,109.1263361,0,0,0,1
32,32,320,32,32,3200,32,32,22,32,32032,32,32,3.2,32,32,3200,32,32,22,32,1032,32,32,32,0.306588646,0.633548639,4.127444872,0.54034947,1.095218999,4.082120093,61.25839385,0.306588646,0.633548639,4.127444872,0.54034947,1.095218999,0,0,1,1,41.27444872,0,1,0,10.95218999,0,1,0,109.5218999,0,0,0,1
30.5,30.5,305,30.5,30.5,3050,30.5,30.5,20.5,30.5,30530.5,30.5,30.5,3.05,30.5,30.5,3050,30.5,30.5,20.5,30.5,1030.5,30.5,30.5,30.5,0.303626881,0.619716152,4.129154917,0.547501626,1.100162844,4.083506469,61.33886791,0.303626881,0.619716152,4.129154917,0.547501626,1.100162844,0,0,1,1,41.29154917,0,1,0,11.00162844,0,1,0,110.0162844,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.300903401,0.60574553,4.130608509,0.552357873,1.10327811,4.086270221,61.39346362,0.300903401,0.60574553,4.130608509,0.552357873,1.10327811,0,0,1,1,41.30608509,0,1,0,11.0327811,0,1,0,110.327811,0,0,0,1
31.5,31.5,315,31.5,31.5,3150,31.5,31.5,21.5,31.5,31531.5,31.5,31.5,3.15,31.5,31.5,3150,31.5,31.5,21.5,31.5,1031.5,31.5,31.5,31.5,0.299610785,0.593821953,4.131527745,0.553243191,1.103010985,4.090257534,61.40240125,0.299610785,0.593821953,4.131527745,0.553243191,1.103010985,0,0,1,1,41.31527745,0,1,0,11.03010985,0,1,0,110.3010985,0,0,0,1
30.5,30.5,305,30.5,30.5,3050,30.5,30.5,20.5,30.5,30530.5,30.5,30.5,3.05,30.5,30.5,3050,30.5,30.5,20.5,30.5,1030.5,30.5,30.5,30.5,0.299729468,0.585654708,4.131888986,0.550179668,1.100029499,4.095050486,61.36784301,0.299729468,0.585654708,4.131888986,0.550179668,1.100029499,0,0,1,1,41.31888986,0,1,0,11.00029499,0,1,0,110.0029499,0,0,0,1
32,32,320,32,32,3200,32,32,22,32,32032,32,32,3.2,32,32,3200,32,32,22,32,1032,32,32,32,0.300286463,0.583121202,4.13183208,0.544206923,1.096645819,4.098686291,61.313748,0.300286463,0.583121202,4.13183208,0.544206923,1.096645819,0,0,1,1,41.3183208,0,1,0,10.96645819,0,1,0,109.6645819,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.300188787,0.587821252,4.131571002,0.53682531,1.095870108,4.098341254,61.27103264,0.300188787,0.587821252,4.131571002,0.53682531,1.095870108,0,0,1,1,41.31571002,0,1,0,10.95870108,0,1,0,109.5870108,0,0,0,1
32,32,320,32,32,3200,32,32,22,32,32032,32,32,3.2,32,32,3200,32,32,22,32,1032,32,32,32,0.298656017,0.600020163,4.131244722,0.52925788,1.098870483,4.093298095,61.2622481,0.298656017,0.600020163,4.131244722,0.52925788,1.098870483,0,0,1,1,41.31244722,0,1,0,10.98870483,0,1,0,109.8870483,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.29647773,0.617685638,4.130603879,0.522700858,1.104271481,4.085172286,61.28697226,0.29647773,0.617685638,4.130603879,0.522700858,1.104271481,0,0,1,1,41.30603879,0,1,0,11.04271481,0,1,0,110.4271481,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.295212743,0.635712444,4.129436056,0.51818226,1.108651032,4.076657097,61.32664599,0.295212743,0.635712444,4.129436056,0.51818226,1.108651032,0,0,1,1,41.29436056,0,1,0,11.08651032,0,1,0,110.8651032,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.296684854,0.649001052,4.127359212,0.517443659,1.107382847,4.071633489,61.36355539,0.296684854,0.649001052,4.127359212,0.517443659,1.107382847,0,0,1,1,41.27359212,0,1,0,11.07382847,0,1,0,110.7382847,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.301751036,0.654131781,4.12430135,0.520833155,1.09863505,4.072233084,61.3856949,0.301751036,0.654131781,4.12430135,0.520833155,1.09863505,0,0,1,1,41.2430135,0,1,0,10.9863505,0,1,0,109.863505,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.309458622,0.652107662,4.120755941,0.527432267,1.084287633,4.078172457,61.38638685,0.309458622,0.652107662,4.120755941,0.527432267,1.084287633,0,0,1,1,41.20755941,0,1,0,10.84287633,0,1,0,108.4287633,0,0,0,1
31.5,31.5,315,31.5,31.5,3150,31.5,31.5,21.5,31.5,31531.5,31.5,31.5,3.15,31.5,31.5,3150,31.5,31.5,21.5,31.5,1031.5,31.5,31.5,31.5,0.316984485,0.646456395,4.117745663,0.534566023,1.069807609,4.08687228,61.36934838,0.316984485,0.646456395,4.117745663,0.534566023,1.069807609,0,0,1,1,41.17745663,0,1,0,10.69807609,0,1,0,106.9807609,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.321811861,0.641519182,4.116368076,0.539985795,1.061468354,4.095205962,61.34002736,0.321811861,0.641519182,4.116368076,0.539985795,1.061468354,0,0,1,1,41.16368076,0,1,0,10.61468354,0,1,0,106.1468354,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.321975818,0.640240789,4.117155738,0.541644011,1.062982277,4.101134398,61.3029461,0.321975818,0.640240789,4.117155738,0.541644011,1.062982277,0,0,1,1,41.17155738,0,1,0,10.62982277,0,1,0,106.2982277,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.318217718,0.642698713,4.119934497,0.539952744,1.073032936,4.103533794,61.26336139,0.318217718,0.642698713,4.119934497,0.539952744,1.073032936,0,0,1,1,41.19934497,0,1,0,10.73032936,0,1,0,107.3032936,0,0,0,1
32,32,320,32,32,3200,32,32,22,32,32032,32,32,3.2,32,32,3200,32,32,22,32,1032,32,32,32,0.313701298,0.646277407,4.123516807,0.537161634,1.085676879,4.101982009,61.23328888,0.313701298,0.646277407,4.123516807,0.537161634,1.085676879,0,0,1,1,41.23516807,0,1,0,10.85676879,0,1,0,108.5676879,0,0,0,1
32,32,320,32,32,3200,32,32,22,32,32032,32,32,3.2,32,32,3200,32,32,22,32,1032,32,32,32,0.31127012,0.649073342,4.126360516,0.535177734,1.094452905,4.096379199,61.22028525,0.31127012,0.649073342,4.126360516,0.535177734,1.094452905,0,0,1,1,41.26360516,0,1,0,10.94452905,0,1,0,109.4452905,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.312954952,0.649164895,4.127648727,0.535833679,1.094864107,4.087249041,61.2299743,0.312954952,0.649164895,4.127648727,0.535833679,1.094864107,0,0,1,1,41.27648727,0,1,0,10.94864107,0,1,0,109.4864107,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.31848003,0.646079463,4.127493859,0.538811957,1.088332263,4.076267061,61.26095311,0.31848003,0.646079463,4.127493859,0.538811957,1.088332263,0,0,1,1,41.27493859,0,1,0,10.88332263,0,1,0,108.8332263,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.325205028,0.640823668,4.126642778,0.543026613,1.078013433,4.066914938,61.30449059,0.325205028,0.640823668,4.126642778,0.543026613,1.078013433,0,0,1,1,41.26642778,0,1,0,10.78013433,0,1,0,107.8013433,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.330118026,0.634909611,4.126060063,0.546547093,1.068511428,4.062615569,61.34482611,0.330118026,0.634909611,4.126060063,0.546547093,1.068511428,0,0,1,1,41.26060063,0,1,0,10.68511428,0,1,0,106.8511428,0,0,0,1
32,32,320,32,32,3200,32,32,22,32,32032,32,32,3.2,32,32,3200,32,32,22,32,1032,32,32,32,0.331227342,0.628296386,4.126332146,0.548093443,1.063901992,4.065510817,61.38038471,0.331227342,0.628296386,4.126332146,0.548093443,1.063901992,0,0,1,1,41.26332146,0,1,0,10.63901992,0,1,0,106.3901992,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.327991087,0.621962751,4.127517995,0.547533472,1.064208173,4.074659922,61.40100529,0.327991087,0.621962751,4.127517995,0.547533472,1.064208173,0,0,1,1,41.27517995,0,1,0,10.64208173,0,1,0,106.4208173,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.321537689,0.615983701,4.129070895,0.544938734,1.068488513,4.086698345,61.4038609,0.321537689,0.615983701,4.129070895,0.544938734,1.068488513,0,0,1,1,41.29070895,0,1,0,10.68488513,0,1,0,106.8488513,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.312892817,0.60981899,4.130358462,0.540701061,1.076231751,4.097521349,61.38503149,0.312892817,0.60981899,4.130358462,0.540701061,1.076231751,0,0,1,1,41.30358462,0,1,0,10.76231751,0,1,0,107.6231751,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.303411676,0.603914781,4.131010074,0.535489257,1.085869007,4.104504658,61.35047118,0.303411676,0.603914781,4.131010074,0.535489257,1.085869007,0,0,1,1,41.31010074,0,1,0,10.85869007,0,1,0,108.5869007,0,0,0,1
31.5,31.5,315,31.5,31.5,3150,31.5,31.5,21.5,31.5,31531.5,31.5,31.5,3.15,31.5,31.5,3150,31.5,31.5,21.5,31.5,1031.5,31.5,31.5,31.5,0.294208383,0.598967853,4.130986474,0.530369641,1.095573707,4.107394985,61.30286339,0.294208383,0.598967853,4.130986474,0.530369641,1.095573707,0,0,1,1,41.30986474,0,1,0,10.95573707,0,1,0,109.5573707,0,0,0,1
31.5,31.5,315,31.5,31.5,3150,31.5,31.5,21.5,31.5,31531.5,31.5,31.5,3.15,31.5,31.5,3150,31.5,31.5,21.5,31.5,1031.5,31.5,31.5,31.5,0.286754345,0.596559443,4.130594764,0.527121838,1.104107916,4.107373428,61.26583358,0.286754345,0.596559443,4.130594764,0.527121838,1.104107916,0,0,1,1,41.30594764,0,1,0,11.04107916,0,1,0,110.4107916,0,0,0,1
30.5,30.5,305,30.5,30.5,3050,30.5,30.5,20.5,30.5,30530.5,30.5,30.5,3.05,30.5,30.5,3050,30.5,30.5,20.5,30.5,1030.5,30.5,30.5,30.5,0.282569979,0.598307384,4.130172897,0.527692335,1.109198058,4.106517356,61.26245422,0.282569979,0.598307384,4.130172897,0.527692335,1.109198058,0,0,1,1,41.30172897,0,1,0,11.09198058,0,1,0,110.9198058,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.28253906,0.604777792,4.129913194,0.532853741,1.109763655,4.106162514,61.31236965,0.28253906,0.604777792,4.129913194,0.532853741,1.109763655,0,0,1,1,41.29913194,0,1,0,11.09763655,0,1,0,110.9763655,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.286372266,0.614740071,4.129760743,0.541243923,1.10607977,4.106722193,61.39156395,0.286372266,0.614740071,4.129760743,0.541243923,1.10607977,0,0,1,1,41.29760743,0,1,0,11.0607977,0,1,0,110.607977,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.292409943,0.625146962,4.129489905,0.549427647,1.099461852,4.107926277,61.45991695,0.292409943,0.625146962,4.129489905,0.549427647,1.099461852,0,0,1,1,41.29489905,0,1,0,10.99461852,0,1,0,109.9461852,0,0,0,1
31.5,31.5,315,31.5,31.5,3150,31.5,31.5,21.5,31.5,31531.5,31.5,31.5,3.15,31.5,31.5,3150,31.5,31.5,21.5,31.5,1031.5,31.5,31.5,31.5,0.298901288,0.632572683,4.128804536,0.553406727,1.091705328,4.109363378,61.47281669,0.298901288,0.632572683,4.128804536,0.553406727,1.091705328,0,0,1,1,41.28804536,0,1,0,10.91705328,0,1,0,109.1705328,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.304636594,0.634823456,4.127472258,0.550995356,1.084040287,4.110637066,61.40055965,0.304636594,0.634823456,4.127472258,0.550995356,1.084040287,0,0,1,1,41.27472258,0,1,0,10.84040287,0,1,0,108.4040287,0,0,0,1
30,30,300,30,30,3000,30,30,20,30,30030,30,30,3,30,30,3000,30,30,20,30,1030,30,30,30,0.309296184,0.63225677,4.125939091,0.54327196,1.078117182,4.111325249,61.25895862,0.309296184,0.63225677,4.125939091,0.54327196,1.078117182,0,0,1,1,41.25939091,0,1,0,10.78117182,0,1,0,107.8117182,0,0,0,1
32,32,320,32,32,3200,32,32,22,32,32032,32,32,3.2,32,32,3200,32,32,22,32,1032,32,32,32,0.313655594,0.627372979,4.124729733,0.534523185,1.076078792,4.111308465,61.11601164,0.313655594,0.627372979,4.124729733,0.534523185,1.076078792,0,0,1,1,41.24729733,0,1,0,10.76078792,0,1,0,107.6078792,0,0,0,1
30.5,30.5,305,30.5,30.5,3050,30.5,30.5,20.5,30.5,30530.5,30.5,30.5,3.05,30.5,30.5,3050,30.5,30.5,20.5,30.5,1030.5,30.5,30.5,30.5,0.318465215,0.6233418,4.124624539,0.529630326,1.079960264,4.109888047,61.03295816,0.318465215,0.6233418,4.124624539,0.529630326,1.079960264,0,0,1,1,41.24624539,0,1,0,10.79960264,0,1,0,107.9960264,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.323905378,0.621819874,4.125986693,0.53127824,1.090092606,4.107152014,61.05438196,0.323905378,0.621819874,4.125986693,0.53127824,1.090092606,0,0,1,1,41.25986693,0,1,0,10.90092606,0,1,0,109.0092606,0,0,0,1
31.5,31.5,315,31.5,31.5,3150,31.5,31.5,21.5,31.5,31531.5,31.5,31.5,3.15,31.5,31.5,3150,31.5,31.5,21.5,31.5,1031.5,31.5,31.5,31.5,0.328710757,0.621721813,4.128780925,0.538027217,1.103352221,4.104221037,61.15477485,0.328710757,0.621721813,4.128780925,0.538027217,1.103352221,0,0,1,1,41.28780925,0,1,0,11.03352221,0,1,0,110.3352221,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.330229518,0.619612204,4.132141844,0.545155715,1.113095838,4.103681176,61.26794333,0.330229518,0.619612204,4.132141844,0.545155715,1.113095838,0,0,1,1,41.32141844,0,1,0,11.13095838,0,1,0,111.3095838,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.326594914,0.613150765,4.135341962,0.547330671,1.113947628,4.107334851,61.33274517,0.326594914,0.613150765,4.135341962,0.547330671,1.113947628,0,0,1,1,41.35341962,0,1,0,11.13947628,0,1,0,111.3947628,0,0,0,1
30.5,30.5,305,30.5,30.5,3050,30.5,30.5,20.5,30.5,30530.5,30.5,30.5,3.05,30.5,30.5,3050,30.5,30.5,20.5,30.5,1030.5,30.5,30.5,30.5,0.318174297,0.602478507,4.137821812,0.54409923,1.105643727,4.114957354,61.33290152,0.318174297,0.602478507,4.137821812,0.54409923,1.105643727,0,0,1,1,41.37821812,0,1,0,11.05643727,0,1,0,110.5643727,0,0,0,1
32,32,320,32,32,3200,32,32,22,32,32032,32,32,3.2,32,32,3200,32,32,22,32,1032,32,32,32,0.307861598,0.590491708,4.139002674,0.537424573,1.093067445,4.124079539,61.29491279,0.307861598,0.590491708,4.139002674,0.537424573,1.093067445,0,0,1,1,41.39002674,0,1,0,10.93067445,0,1,0,109.3067445,0,0,0,1
31,31,310,31,31,3100,31,31,21,31,31031,31,31,3.1,31,31,3100,31,31,21,31,1031,31,31,31,0.299918922,0.582013436,4.138487008,0.531737879,1.083266012,4.131126714,61.26618709,0.299918922,0.582013436,4.138487008,0.531737879,1.083266012,0,0,1,1,41.38487008,0,1,0,10.83266012,0,1,0,108.3266012,0,0,0,1
